nid,n_nid_1,n_nid_2,n_nid_3,n_nid_4,n_nid_5,n_nid_6,n_relation_1,n_relation_2,n_relation_3,n_relation_4,n_relation_5,n_relation_6,age,sex
302066,302067.0,400472.0,,,,,1.0,8.0,,,,,62.0,2.0
302067,302066.0,306049.0,400472.0,400473.0,400474.0,403205.0,1.0,9.0,9.0,9.0,9.0,9.0,66.0,1.0
302068,,402099.0,,,,,,5.0,,,,,67.0,2.0
302069,302070.0,,,,,,1.0,,,,,,68.0,1.0
302070,302069.0,,,,,,1.0,,,,,,63.0,2.0
302071,,400199.0,402101.0,,,,,5.0,5.0,,,,86.0,2.0
302073,,402102.0,,,,,,5.0,,,,,83.0,2.0
302077,302905.0,,,,,,1.0,,,,,,67.0,1.0
302078,,302060.0,302093.0,302124.0,,,,10.0,10.0,9.0,,,76.0,2.0
302079,,402108.0,,,,,,5.0,,,,,78.0,2.0
302080,,302054.0,302041.0,,,,,10.0,10.0,,,,78.0,2.0
302081,302082.0,301018.0,400208.0,,,,1.0,10.0,11.0,,,,76.0,1.0
302082,302081.0,302101.0,302019.0,,,,1.0,10.0,10.0,,,,76.0,2.0
302083,302084.0,302122.0,302119.0,,,,1.0,11.0,11.0,,,,77.0,1.0
302084,302083.0,400211.0,,,,,1.0,5.0,,,,,73.0,2.0
302101,,402292.0,402289.0,,,,,11.0,11.0,,,,67.0,2.0
302085,,302061.0,302019.0,,,,,10.0,10.0,,,,82.0,2.0
302102,,400372.0,,,,,,5.0,,,,,73.0,2.0
302114,,302034.0,302131.0,302013.0,,,,10.0,9.0,10.0,,,56.0,1.0
303001,303002.0,303080.0,400213.0,303053.0,,,1.0,10.0,10.0,10.0,,,60.0,2.0
303002,303001.0,402116.0,402117.0,403083.0,403063.0,,1.0,11.0,11.0,11.0,11.0,,65.0,1.0
303003,,303007.0,303157.0,,,,,12.0,12.0,,,,77.0,2.0
303005,303006.0,304045.0,303159.0,303051.0,303086.0,303064.0,1.0,10.0,10.0,10.0,10.0,10.0,72.0,1.0
303007,,303074.0,303016.0,303093.0,303057.0,303071.0,,10.0,10.0,10.0,10.0,10.0,78.0,2.0
303008,303009.0,,,,,,1.0,,,,,,65.0,2.0
303009,303008.0,303029.0,,,,,1.0,10.0,,,,,71.0,1.0
303103,,303095.0,303040.0,,,,,10.0,10.0,,,,74.0,2.0
303010,303011.0,303012.0,303013.0,,,,1.0,5.0,6.0,,,,82.0,2.0
303173,,303096.0,,,,,,9.0,,,,,80.0,2.0
303015,303016.0,303041.0,303073.0,303029.0,,,1.0,11.0,11.0,11.0,,,76.0,1.0
303016,303015.0,402121.0,403335.0,402120.0,403055.0,403046.0,1.0,5.0,6.0,5.0,5.0,5.0,76.0,2.0
303017,,,,,,,,,,,,,87.0,1.0
303018,303019.0,303151.0,303161.0,303040.0,,,1.0,10.0,10.0,10.0,,,83.0,2.0
303019,303018.0,303094.0,,,,,1.0,11.0,,,,,90.0,1.0
303021,,403021.0,,,,,,5.0,,,,,65.0,2.0
303022,,,,,,,,,,,,,76.0,1.0
303024,303025.0,305070.0,303129.0,303088.0,403127.0,303131.0,1.0,11.0,11.0,10.0,5.0,11.0,61.0,2.0
303025,303024.0,,,,,,1.0,,,,,,63.0,1.0
303026,303027.0,303025.0,303012.0,303164.0,303041.0,303125.0,1.0,10.0,10.0,10.0,10.0,10.0,65.0,1.0
303028,303029.0,403022.0,,,,,1.0,5.0,,,,,67.0,2.0
303029,303028.0,303088.0,303087.0,303172.0,303009.0,303054.0,1.0,10.0,10.0,10.0,10.0,10.0,73.0,1.0
304001,303030.0,,,,,,1.0,,,,,,73.0,2.0
303030,304001.0,303113.0,303033.0,,,,1.0,10.0,10.0,,,,74.0,1.0
303031,303032.0,303158.0,301189.0,,,,1.0,10.0,11.0,,,,69.0,1.0
303032,303031.0,303169.0,301192.0,400307.0,303174.0,403116.0,1.0,10.0,10.0,10.0,10.0,8.0,61.0,2.0
303034,303033.0,303096.0,303042.0,,,,1.0,11.0,9.0,,,,77.0,2.0
303035,303036.0,,,,,,1.0,,,,,,75.0,1.0
303036,303035.0,303042.0,305016.0,,,,1.0,11.0,11.0,,,,72.0,2.0
303037,303038.0,,,,,,1.0,,,,,,71.0,1.0
303038,303037.0,303057.0,303050.0,400233.0,,,1.0,9.0,9.0,5.0,,,60.0,2.0
303039,303040.0,400235.0,402295.0,402294.0,,,1.0,5.0,5.0,5.0,,,83.0,1.0
303040,303039.0,400235.0,403016.0,402295.0,,,1.0,5.0,5.0,5.0,,,77.0,2.0
303041,303042.0,306148.0,301191.0,307134.0,,,1.0,11.0,11.0,11.0,,,66.0,1.0
303042,303041.0,303036.0,305016.0,303165.0,,,1.0,10.0,10.0,10.0,,,59.0,2.0
303043,303044.0,303162.0,403124.0,,,,1.0,10.0,5.0,,,,66.0,2.0
303044,303043.0,403075.0,403089.0,402297.0,403062.0,403086.0,1.0,11.0,11.0,11.0,11.0,11.0,81.0,1.0
303045,303046.0,402128.0,,,,,1.0,5.0,,,,,71.0,2.0
303046,303045.0,403109.0,403112.0,402128.0,,,1.0,5.0,5.0,5.0,,,74.0,1.0
